author,name,rank,date,duration,id,popularity,album_Name,albumType,releaseDate,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,timeSig
Eminem Featuring Nate Dogg,Shake That,62,2006,274440,0fGh0trRN1xz3s41r7V5ce,77,Curtain Call: The Hits (Deluxe Edition),compilation,2005-12-06,True,0.963,0.643,1,-5.785,0,0.117,0.0507,4.94e-05,0.157,0.534,107.005,4
Chingy Featuring Tyrese,Pullin' Me Back,63,2006,234133,5hF2LnbkpnXCkksMSeWcxZ,65,Hoodstar (Deluxe Edition),album,2006-01-01,True,0.786,0.511,7,-6.66,1,0.286,0.0825,0,0.12,0.587,80.0,4
Kelis Featuring Too $hort,Bossy,64,2006,274946,0Eu5SrReZzaJX0NLKI8tQS,50,Kelis Was Here,album,2006-08-22,False,0.906,0.624,4,-5.556,1,0.179,0.000185,6.21e-06,0.0608,0.775,84.009,4
Jibbs,Chain Hang Low,65,2006,207586,0tYPj0NYa7vjlJaqlRSnJb,59,Jibbs feat. Jibbs,album,2006-01-01,True,0.792,0.589,4,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,4
Akon Featuring Eminem,Smack That,66,2006,212360,2kQuhkFX7uSVepCD3h29g5,86,Konvicted,album,2006-01-01,True,0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,4
Ray J,One Wish,67,2006,337640,2TFsx3B0hLSSTambrudXs3,66,Raydiation,album,2005-09-05,True,0.529,0.651,5,-7.061,0,0.282,0.281,0,0.339,0.592,127.03,4
Fall Out Boy,"Sugar, We're Goin' Down",68,2006,229093,2TfSHkHiFO4gRztVIkggkE,81,From Under The Cork Tree,album,2005-05-03,False,0.494,0.842,7,-4.784,1,0.0843,0.00579,0,0.122,0.574,162.011,4
Chris Brown Featuring Lil Wayne,Gimme That,69,2006,186826,53ETzLQQKFCzykRbqWb1ph,69,Chris Brown (Expanded Edition),album,2005,False,0.678,0.572,11,-7.033,0,0.0466,0.00374,6.59e-05,0.118,0.444,87.165,4
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,I Know You See It,70,2006,241306,6giYNaycmjkbf7UmZ6RGtL,56,New Joc City,album,2006-06-06,True,0.744,0.368,1,-6.349,1,0.0524,0.0702,0,0.192,0.391,84.018,4
Bon Jovi,Who Says You Can't Go Home,71,2006,230280,5439qJTu5mVH9aeriwp03u,59,Have A Nice Day,album,2005-01-01,False,0.537,0.885,7,-3.641,1,0.0343,0.0437,0,0.274,0.802,131.698,4
JoJo,Too Little Too Late,72,2006,221720,4T4NLIMypdmyUwK54jECk4,74,The High Road,album,2006-10-17,False,0.421,0.799,6,-5.183,0,0.0562,0.00871,1.63e-05,0.0794,0.731,82.408,4
Busta Rhymes,Touch It,73,2006,214960,3HVJbdz0V402U5YggQK4Ao,61,The Big Bang,album,2006-01-01,True,0.658,0.551,1,-6.62,1,0.37,0.0043,0.000108,0.197,0.442,138.335,5
Daddy Yankee,Rompe,74,2006,188626,4Xtlw8oXkIOvzV7crUBKeZ,77,Barrio Fino En Directo,album,2005-01-01,True,0.696,0.858,9,-5.155,1,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,4
Beyonce Featuring Jay Z,Deja Vu,75,2006,240280,423EcxblW9F4nnQkqcqMlK,68,B'Day Deluxe Edition,album,2007-05-29,False,0.644,0.746,7,-4.941,1,0.341,0.0071,1.22e-05,0.0743,0.355,105.253,4
Rascal Flatts,Life Is A Highway,76,2006,275640,5gB2IrxOCX2j9bMnHKP38i,78,Cars (Original Motion Picture Soundtrack),compilation,2006-01-01,False,0.562,0.934,5,-5.562,1,0.0607,0.00211,0,0.199,0.558,103.042,4
Evanescence,Call Me When You're Sober,77,2006,214706,663Karu2rvKLdnY0eo1n3M,72,The Open Door,album,2006-01-01,False,0.45,0.883,7,-4.094,1,0.0524,0.00193,0,0.293,0.328,93.41,4
Carrie Underwood,"Jesus, Take The Wheel",78,2006,226493,3lec3CzDPAxsZokPph5w87,64,Some Hearts,album,2005-11-14,False,0.359,0.518,2,-3.537,1,0.0302,0.665,0,0.106,0.135,76.572,4
Danity Kane,Show Stopper,79,2006,229240,5FRIqUXfTazrtRmYEGO4G0,57,Danity Kane,album,2006-08-22,False,0.755,0.408,5,-10.33,0,0.187,0.0133,0,0.33,0.465,76.034,4
Ciara Featuring Chamillionaire,Get Up,80,2006,261880,3rKCDtV8UcF0RytSiXxypc,64,The Evolution,album,2006,False,0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,4
Sean Paul,We Be Burnin',81,2006,213066,4kOTDj4SiZPkW1p96WMDNv,64,The Trinity,album,2005-09-26,False,0.95,0.803,1,-4.195,1,0.151,0.145,0,0.0748,0.86,117.0,4
Blue October,Hate Me,82,2006,380200,1tL40tfdtUaSLek4DvDDr3,62,Foiled,album,2006-01-01,True,0.449,0.691,4,-5.65,0,0.0349,0.477,0,0.0966,0.201,93.267,4
Lifehouse,You And Me,83,2006,195493,0815caqt2Lytro5EIzMufT,77,Lifehouse,album,2005-03-22,False,0.459,0.427,7,-7.734,1,0.0267,0.114,0,0.168,0.354,139.902,3
The Pussycat Dolls Featuring will.i.am,Beep,84,2006,229360,5TXNLJ2EENAt3Tf9MX4kT2,52,PCD,album,2005-01-01,False,0.935,0.745,7,-6.391,1,0.0431,0.00914,0,0.116,0.518,103.691,4
